,Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,joined_days,Age,Living_With,Children,Family_Size,Is_Parent
0,Graduate,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,4706,67,Alone,0,1,0
1,Graduate,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,3971,70,Alone,2,3,1
2,Graduate,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,4323,59,Partner,0,2,0
3,Graduate,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,3969,40,Partner,1,3,1
4,Postgraduate,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,3960,43,Partner,1,3,1
5,Postgraduate,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,4335,57,Partner,1,3,1
6,Graduate,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,4697,53,Alone,1,2,1
7,Postgraduate,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,4336,39,Partner,1,3,1
8,Postgraduate,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,4338,50,Partner,1,3,1
9,Postgraduate,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,3966,74,Partner,2,4,1
10,Graduate,52247.25135379061,11,5,5,6,0,2,1,1,1,0,2,7,4329,41,Partner,1,3,1
11,Undergraduate,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,4697,48,Partner,0,2,0
12,Graduate,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,4329,65,Alone,0,1,0
13,Postgraduate,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,4329,72,Alone,2,3,1
14,Graduate,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,4700,37,Partner,0,2,0
15,Postgraduate,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,4686,78,Alone,0,1,0
16,Graduate,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,4686,44,Partner,2,4,1
17,Graduate,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,4679,78,Partner,0,2,0
18,Postgraduate,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,4316,75,Partner,1,3,1
19,Undergraduate,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,4707,39,Alone,1,2,1
20,Graduate,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,4702,42,Partner,0,2,0
21,Graduate,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,4338,45,Partner,1,3,1
